iter	Passed	Remaining
0	146	146680
1	151	75778
2	157	52258
3	162	40404
4	165	32967
5	168	27914
6	170	24215
7	173	21470
8	175	19331
9	177	17551
10	179	16102
11	180	14881
12	182	13843
13	183	12938
14	185	12150
15	186	11449
16	187	10866
17	189	10339
18	190	9851
19	191	9405
20	192	8997
21	194	8630
22	195	8293
23	196	7980
24	197	7689
25	198	7420
26	199	7173
27	199	6942
28	200	6727
29	202	6539
30	203	6364
31	204	6188
32	205	6026
33	206	5872
34	207	5725
35	208	5587
36	209	5456
37	210	5331
38	211	5214
39	212	5101
40	213	4993
41	214	4891
42	215	4793
43	216	4702
44	217	4624
45	218	4541
46	219	4460
47	221	4389
48	222	4314
49	223	4245
50	224	4177
51	225	4112
52	226	4049
53	227	3987
54	228	3928
55	230	3878
56	231	3831
57	232	3779
58	233	3731
59	235	3681
60	236	3635
61	237	3589
62	238	3544
63	239	3500
64	240	3458
65	241	3417
66	242	3376
67	243	3338
68	245	3306
69	246	3274
70	247	3239
71	248	3206
72	249	3174
73	251	3142
74	252	3109
75	253	3078
76	254	3048
77	255	3018
78	256	2989
79	257	2962
80	258	2935
81	260	2917
82	261	2887
83	262	2863
84	263	2839
85	264	2816
86	266	2792
87	267	2769
88	268	2747
89	269	2724
90	270	2701
91	271	2679
92	272	2659
93	273	2638
94	275	2621
95	276	2602
96	277	2582
97	278	2563
98	279	2542
99	280	2523
100	281	2504
101	282	2485
102	283	2466
103	284	2447
104	285	2430
105	286	2413
106	287	2395
107	288	2379
108	289	2367
109	291	2355
110	292	2341
111	293	2325
112	294	2310
113	295	2297
114	296	2283
115	297	2269
116	298	2253
117	299	2239
118	300	2225
119	301	2211
120	302	2197
121	304	2188
122	305	2177
123	306	2164
124	307	2151
125	308	2138
126	309	2125
127	310	2113
128	311	2101
129	312	2090
130	313	2078
131	314	2067
132	315	2056
133	316	2044
134	317	2033
135	319	2029
136	320	2019
137	321	2009
138	322	1998
139	323	1988
140	324	1977
141	325	1966
142	326	1956
143	327	1946
144	328	1936
145	329	1927
146	330	1917
147	331	1908
148	332	1899
149	334	1894
150	335	1887
151	336	1878
152	337	1870
153	338	1861
154	339	1853
155	341	1845
156	342	1837
157	343	1829
158	344	1821
159	345	1813
160	346	1803
161	347	1796
162	349	1792
163	350	1785
164	351	1778
165	352	1771
166	353	1763
167	354	1756
168	355	1749
169	356	1742
170	358	1735
171	359	1728
172	360	1721
173	361	1714
174	362	1707
175	363	1702
176	364	1696
177	366	1691
178	367	1686
179	368	1679
180	369	1674
181	371	1668
182	372	1662
183	373	1655
184	374	1649
185	375	1643
186	376	1637
187	377	1632
188	379	1628
189	380	1623
190	381	1617
191	383	1612
192	384	1606
193	385	1601
194	386	1596
195	387	1590
196	388	1585
197	389	1579
198	390	1573
199	392	1568
200	394	1567
201	395	1563
202	396	1558
203	398	1553
204	399	1547
205	400	1542
206	401	1537
207	402	1532
208	403	1527
209	404	1522
210	405	1517
211	406	1512
212	408	1508
213	409	1505
214	411	1502
215	412	1497
216	413	1492
217	414	1488
218	415	1483
219	417	1479
220	418	1474
221	419	1469
222	420	1466
223	422	1462
224	424	1461
225	425	1457
226	426	1453
227	427	1448
228	428	1444
229	430	1439
230	431	1435
231	432	1430
232	433	1426
233	434	1422
234	435	1418
235	436	1413
236	438	1411
237	439	1408
238	441	1404
239	442	1400
240	443	1397
241	444	1393
242	446	1389
243	447	1386
244	448	1382
245	449	1378
246	450	1374
247	451	1370
248	453	1367
249	454	1364
250	457	1365
251	459	1362
252	460	1358
253	461	1356
254	463	1353
255	464	1349
256	465	1346
257	466	1343
258	468	1340
259	509	1449
260	511	1447
261	512	1444
262	514	1440
263	515	1436
264	516	1433
265	519	1432
266	521	1431
267	522	1426
268	524	1424
269	525	1421
270	527	1418
271	528	1415
272	530	1413
273	532	1412
274	535	1412
275	536	1408
276	538	1404
277	539	1402
278	541	1399
279	542	1395
280	543	1391
281	545	1387
282	547	1387
283	550	1387
284	552	1385
285	553	1382
286	555	1379
287	556	1375
288	557	1372
289	559	1368
290	560	1365
291	564	1369
292	566	1366
293	567	1362
294	568	1359
295	569	1355
296	571	1351
297	572	1348
298	573	1344
299	574	1340
300	575	1337
301	577	1335
302	580	1335
303	581	1332
304	583	1328
305	584	1325
306	585	1322
307	586	1318
308	587	1314
309	589	1311
310	590	1307
311	591	1303
312	593	1303
313	596	1303
314	597	1299
315	599	1296
316	600	1293
317	601	1289
318	602	1286
319	603	1283
320	604	1279
321	606	1276
322	607	1273
323	609	1272
324	611	1270
325	612	1266
326	613	1263
327	614	1259
328	616	1256
329	617	1253
330	618	1250
331	619	1246
332	620	1243
333	621	1239
334	623	1237
335	625	1235
336	626	1232
337	627	1228
338	628	1225
339	629	1222
340	630	1218
341	631	1215
342	632	1211
343	633	1208
344	634	1204
345	635	1201
346	636	1198
347	639	1198
348	640	1195
349	642	1192
350	643	1189
351	644	1185
352	645	1182
353	646	1179
354	647	1176
355	648	1173
356	649	1170
357	651	1168
358	653	1166
359	655	1164
360	657	1163
361	659	1161
362	660	1159
363	661	1156
364	663	1153
365	664	1150
366	665	1147
367	666	1145
368	668	1143
369	670	1140
370	671	1137
371	672	1134
372	673	1131
373	674	1129
374	675	1126
375	676	1122
376	677	1120
377	678	1117
378	680	1114
379	682	1114
380	684	1111
381	685	1109
382	686	1105
383	687	1102
384	688	1100
385	689	1097
386	690	1094
387	692	1091
388	693	1088
389	694	1086
390	695	1083
391	697	1081
392	699	1079
393	700	1077
394	701	1074
395	702	1071
396	703	1069
397	705	1066
398	706	1064
399	707	1061
400	708	1058
401	710	1056
402	711	1053
403	713	1052
404	715	1050
405	716	1047
406	717	1044
407	718	1042
408	719	1039
409	720	1037
410	721	1034
411	722	1031
412	724	1029
413	725	1026
414	727	1025
415	729	1023
416	730	1021
417	731	1018
418	732	1016
419	734	1013
420	735	1011
421	736	1008
422	737	1005
423	738	1003
424	739	1000
425	740	998
426	742	996
427	743	994
428	745	992
429	746	989
430	747	987
431	749	985
432	750	982
433	751	980
434	752	977
435	753	975
436	754	972
437	755	969
438	757	967
439	759	966
440	760	963
441	761	961
442	762	958
443	763	956
444	764	953
445	765	951
446	766	948
447	768	946
448	769	943
449	770	941
450	772	939
451	773	937
452	774	935
453	775	933
454	777	930
455	778	928
456	779	925
457	780	923
458	781	920
459	782	918
460	783	915
461	784	913
462	785	910
463	786	908
464	788	907
465	789	905
466	791	902
467	792	900
468	793	898
469	794	895
470	795	893
471	796	891
472	797	888
473	798	886
474	800	884
475	802	883
476	804	881
477	805	879
478	806	877
479	808	875
480	809	873
481	810	871
482	812	869
483	813	867
484	814	865
485	816	863
486	818	862
487	819	860
488	821	858
489	822	855
490	823	853
491	824	851
492	826	849
493	827	847
494	828	845
495	829	843
496	831	841
497	833	840
498	834	838
499	835	835
500	836	833
501	838	831
502	839	829
503	840	827
504	841	824
505	842	822
506	843	820
507	844	818
508	846	816
509	848	814
510	849	813
511	851	811
512	852	809
513	853	807
514	854	804
515	855	802
516	857	800
517	858	798
518	859	796
519	860	794
520	861	792
521	863	790
522	864	788
523	865	786
524	866	784
525	868	782
526	869	780
527	871	779
528	872	777
529	873	774
530	875	772
531	877	771
532	878	769
533	879	767
534	880	765
535	882	763
536	883	761
537	884	759
538	886	757
539	887	755
540	888	753
541	889	752
542	891	750
543	893	748
544	894	746
545	895	744
546	897	743
547	898	740
548	899	738
549	900	736
550	901	734
551	903	733
552	904	731
553	906	729
554	907	727
555	908	725
556	909	723
557	911	721
558	912	719
559	913	717
560	914	715
561	915	713
562	917	711
563	918	709
564	919	707
565	920	705
566	922	704
567	923	702
